%@metadata width_px 704.0
%@metadata height_px 416.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
782,361.3,197.15,1.0,FIX,FIX,19.307983,-2.18,0.0,4.061409,-2.91,0.0,5.5027375,-3.0,0.0,2.8719013,2.17,0.0,4.255653,-2.88,0.0,SP
2782,360.95,196.65,1.0,FIX,FIX,4.061409,-2.91,130295.45,7.314205,0.89,85490.68,6.997214,2.3,47861.85,3.6045873,2.23,5999.18,4.1518874,-2.97,3124.25,SP
4787,361.05,197.09,1.0,FIX,FIX,7.314205,0.89,85277.49,5.5027375,-3.0,94176.83,4.5726438,2.62,23703.31,4.0595107,-2.75,36658.31,5.3274746,-2.79,11413.13,SP
6781,361.24,197.01,1.0,FIX,FIX,6.967477,-3.05,104225.37,6.997214,2.3,48005.87,7.9975395,2.74,27744.73,4.7447424,-3.01,10405.74,6.039281,-2.71,6604.26,SP
8799,360.61,197.05,1.0,FIX,FIX,14.68409,2.81,68843.94,4.5726438,2.62,23550.62,2.8719013,2.17,45275.01,4.0911465,-2.63,14062.01,4.9731536,-2.55,10851.54,SP
10787,360.36,197.31,1.0,FIX,FIX,5.3243113,1.75,103003.19,7.9975395,2.74,27828.46,3.6045873,2.23,6035.39,4.630221,-2.27,13124.9,4.6131377,-2.59,3246.49,SP
12785,360.55,197.38,1.0,FIX,FIX,1.7671778,2.03,28961.59,5.9677844,1.19,77960.17,4.0595107,-2.75,36786.74,6.182908,-2.55,17226.85,5.5584164,-2.79,10885.96,SP
14790,360.31,197.41,1.0,FIX,FIX,7.934268,0.83,59039.56,0.53021663,1.11,42880.13,4.7447424,-3.01,10348.65,6.963048,-2.38,10614.39,5.175623,-2.64,7180.11,SP
16792,360.89,197.75,1.0,FIX,FIX,1.4141219,-0.46,60518.24,6.443587,-2.16,55025.51,4.0911465,-2.63,14174.4,4.255653,-2.88,29981.18,5.967151,-2.66,6369.83,SP
18792,360.39,197.37,1.0,FIX,FIX,20.784744,-2.22,166628.84,4.8814096,-2.01,14016.66,4.630221,-2.27,13046.15,4.1518874,-2.97,3124.25,3.8513467,-2.84,18002.15,SP
20792,360.1,196.7,1.0,FIX,FIX,9.824825,-2.15,86927.98,13.358548,-2.34,70351.08,6.182908,-2.55,17209.62,5.3274746,-2.79,11441.66,3.195852,3.05,12053.95,SP
22793,360.05,196.85,1.0,FIX,FIX,6.6593437,-2.75,45411.01,9.776739,-2.25,29448.05,6.963048,-2.38,10635.61,6.039281,-2.71,6581.16,3.8171802,3.1,5105.88,SP
24797,359.71,196.54,1.0,FIX,FIX,9.833051,-2.36,35454.28,6.888387,-2.92,48192.52,8.032339,-2.53,12225.86,4.9731536,-2.55,10927.35,2.2208357,3.06,12621.19,SP
