%@metadata width_px 704.0
%@metadata height_px 416.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
1047,353.29,220.71,1.0,FIX,FIX,18.737274,-0.63,0.0,11.594534,0.48,0.0,2.6763916,0.33,0.0,5.570438,0.48,0.0,3.5349884,1.76,0.0,FIX
3053,353.77,220.36,1.0,FIX,FIX,11.594534,0.48,134881.4,5.2661014,0.27,51470.33,3.1661146,1.8,30939.96,4.009526,0.71,14957.05,4.1310077,1.57,7525.41,FIX
5050,353.94,221.05,1.0,FIX,FIX,5.2661014,0.27,51702.3,2.6763916,0.33,20566.09,4.852305,-2.81,48007.78,4.758662,0.44,11062.47,3.3027813,1.76,8728.8,FIX
7047,354.09,220.45,1.0,FIX,FIX,6.367661,-2.53,90797.36,3.1661146,1.8,31079.4,3.5292938,1.84,48818.6,5.771642,1.57,45241.63,4.8409157,1.99,14069.66,FIX
9047,353.61,220.82,1.0,FIX,FIX,8.026011,2.51,66961.4,4.852305,-2.81,47935.77,5.570438,0.48,47010.38,4.6966567,1.45,9787.49,4.0841866,2.17,8694.73,FIX
11052,353.68,220.75,1.0,FIX,FIX,3.9797883,3.02,39074.67,3.5292938,1.84,48623.81,4.009526,0.71,14964.51,5.5033703,1.82,15870.37,4.3625817,2.24,3289.72,FIX
13050,353.36,220.85,1.0,FIX,FIX,5.0282,0.42,68703.49,8.502448,0.53,66024.84,4.758662,0.44,11056.93,3.2002814,2.05,19720.63,3.607751,2.14,6786.78,FIX
15051,353.97,220.88,1.0,FIX,FIX,20.333618,0.41,120895.78,7.12439,0.3,17425.11,5.771642,1.57,45151.2,5.2547126,2.87,30544.4,3.935498,1.94,6537.9,FIX
17050,354.54,221.36,1.0,FIX,FIX,9.270566,0.24,89329.8,14.350016,0.4,57661.24,4.6966567,1.45,9792.39,3.5349884,1.76,38284.78,3.0496948,2.05,7661.51,FIX
19057,354.54,221.02,1.0,FIX,FIX,8.369576,0.39,12395.67,8.200009,1.45,98560.65,5.5033703,1.82,15854.56,4.1310077,1.57,7521.66,4.9573355,1.89,15778.53,FIX
21051,355.03,221.56,1.0,FIX,FIX,15.79514,2.04,146327.22,8.034869,2.46,62038.05,3.2002814,2.05,19760.19,3.3027813,1.76,8741.93,4.627057,2.79,33180.33,FIX
23052,354.09,221.91,1.0,FIX,FIX,21.383293,2.81,117820.58,12.768224,2.41,37616.79,5.2547126,2.87,30544.4,4.8409157,1.99,14041.54,2.4922712,2.76,16885.94,FIX
25056,353.75,222.0,1.0,FIX,FIX,12.222821,2.89,73012.95,16.13048,3.14,84831.46,7.629298,2.53,25071.5,4.0841866,2.17,8677.38,2.110743,2.56,4746.87,FIX
27057,353.34,222.1,1.0,FIX,FIX,13.822963,-2.63,77485.29,12.260152,-2.7,58348.83,6.401195,2.06,27617.6,4.3625817,2.24,3296.3,2.213876,1.76,13272.36,FIX
29053,352.99,221.57,1.0,FIX,FIX,17.030836,-2.22,55465.89,7.269915,2.61,80556.09,7.141474,2.47,22403.47,3.607751,2.14,6793.58,3.600791,1.83,11099.01,FIX
31062,352.69,221.24,1.0,FIX,FIX,13.977345,1.62,229645.1,4.442937,0.67,77005.2,4.982644,2.47,16989.03,3.935498,1.94,6511.87,4.8485084,1.62,12109.01,FIX
33131,352.95,222.47,1.0,FIX,FIX,25.747774,0.84,141976.31,10.154471,1.06,47873.48,5.550824,2.75,12030.24,3.0496948,2.05,7402.3,3.3565621,1.94,15092.39,FIX
35064,353.78,222.45,1.0,FIX,FIX,11.356,0.32,137906.7,11.924812,1.3,25720.11,4.3410697,2.79,9985.46,4.9573355,1.89,16382.57,4.1797266,1.97,6820.35,FIX
37060,353.62,222.69,1.0,FIX,FIX,11.426231,2.8,170766.38,4.0196495,3.02,104230.23,4.0392637,2.21,19042.33,4.627057,2.79,33147.08,4.0139546,2.01,1833.73,FIX
39057,353.1,222.69,1.0,FIX,FIX,18.688553,-3.01,79166.46,11.63566,3.12,60515.59,6.3467813,1.21,42629.07,2.4922712,2.76,16919.76,4.7884,1.9,7229.15,FIX
41058,352.45,222.53,1.0,FIX,FIX,12.923872,-2.88,48003.88,10.088668,-2.9,25165.14,3.6444483,0.29,39925.34,2.110743,2.56,4753.98,4.601749,2.12,8339.95,FIX
43059,352.31,222.48,1.0,FIX,FIX,2.4739223,-2.03,90336.59,1.3255416,0.3,90135.29,3.75897,1.6,35745.16,2.213876,1.76,13272.36,4.558091,2.01,4263.52,FIX
45061,352.38,222.39,1.0,FIX,FIX,15.579384,0.27,136805.77,11.021293,0.14,76695.63,3.3850346,-2.75,46473.46,3.600791,1.83,11065.75,4.1999736,1.85,5980.55,FIX
47059,353.26,222.74,1.0,FIX,FIX,23.546553,0.23,63265.41,13.509768,0.57,45189.15,1.4166527,-2.1,19091.31,4.8485084,1.62,12175.67,5.2256074,1.81,8295.78,FIX
49063,353.83,222.73,1.0,FIX,FIX,12.992839,0.93,126183.52,3.5666242,-0.07,85546.93,1.6381036,0.15,21712.39,3.2926579,2.13,20156.97,4.90482,2.11,12127.25,FIX
