%@metadata width_px 704.0
%@metadata height_px 416.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
581,340.32,189.05,1.0,FIX,FIX,13.956466,-3.05,0.0,4.998462,0.32,0.0,3.2401423,-1.79,0.0,4.7510695,-2.95,0.0,2.3461137,-2.87,0.0,FIX
2584,339.88,189.01,1.0,FIX,FIX,4.998462,0.32,148788.73,8.744779,0.11,31576.39,3.960174,-1.63,7281.98,2.7377653,3.05,17748.96,1.1629333,-2.53,10354.22,FIX
4584,340.62,189.15,1.0,FIX,FIX,8.744779,0.11,31623.75,3.2401423,-1.79,81104.99,11.6635,-2.57,77863.72,4.5112705,2.72,16839.73,1.7988137,-2.93,6817.68,FIX
6587,340.43,189.07,1.0,FIX,FIX,10.022866,-2.23,136463.6,3.960174,-1.63,7281.98,7.772292,-2.88,38736.87,4.689697,2.64,3125.84,0.87567997,-2.65,7802.26,FIX
8587,340.23,188.65,1.0,FIX,FIX,12.753038,-2.37,24955.04,11.6635,-2.57,77863.72,4.7510695,-2.95,24078.38,4.065205,2.43,8708.1,0.6852322,2.15,8411.76,FIX
10587,339.85,188.51,1.0,FIX,FIX,14.250679,-2.8,46828.94,7.772292,-2.88,38794.98,2.7377653,3.05,17775.58,2.7953424,2.64,11459.68,1.9898942,0.97,14560.94,FIX
12589,339.38,188.35,1.0,FIX,FIX,7.6413198,2.44,96883.06,8.719469,2.99,27621.14,4.5112705,2.72,16822.9,3.607118,2.33,9992.39,2.3764842,0.81,4106.25,FIX
14584,339.48,188.82,1.0,FIX,FIX,8.3411045,2.04,25813.43,6.8428316,2.44,36348.77,4.689697,2.64,3138.38,1.150279,2.86,21221.35,1.6969463,0.48,7443.02,FIX
16592,339.14,188.82,1.0,FIX,FIX,6.047507,2.43,28084.62,10.167126,1.41,69412.07,4.065205,2.43,8673.41,2.3461137,-2.87,11739.95,2.8529198,0.36,9343.28,FIX
18590,339.19,189.07,1.0,FIX,FIX,14.449351,1.07,114401.59,6.522044,1.68,33498.72,2.7953424,2.64,11471.15,1.1629333,-2.53,10380.13,2.8510218,0.3,1483.43,FIX
