%@metadata width_px 704.0
%@metadata height_px 416.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
518,339.62,213.16,1.0,FIX,FIX,10.504995,-1.13,0.0,6.1753154,-2.27,0.0,5.7805,-1.91,0.0,2.9187224,-2.19,0.0,0.5498308,-1.46,0.0,FIX
2512,339.76,212.86,1.0,FIX,FIX,6.1753154,-2.27,76557.42,8.398048,-2.86,37578.43,4.616301,-2.23,16289.78,1.2603717,-2.29,13224.04,0.4005097,-2.15,2752.65,FIX
4519,339.37,212.86,1.0,FIX,FIX,8.398048,-2.86,37335.03,5.7805,-1.91,54256.54,4.438508,-1.77,16542.84,2.237919,-1.01,17549.54,0.66435254,-2.1,2088.45,FIX
6517,339.25,212.71,1.0,FIX,FIX,6.178479,-1.55,71625.35,4.616301,-2.23,16257.17,3.1686454,-1.62,10952.22,1.6811284,-0.72,6287.64,0.5156641,-2.57,2472.11,FIX
8514,339.38,212.47,1.0,FIX,FIX,5.4457927,-1.12,20215.72,4.438508,-1.77,16625.68,2.9187224,-2.19,13720.44,1.4539831,-0.79,1978.9,1.121174,-2.98,5375.11,FIX
10518,339.4,212.4,1.0,FIX,FIX,3.162951,-2.21,38521.92,3.1686454,-1.62,10919.43,1.2603717,-2.29,13158.06,1.1471153,0.03,8470.2,1.2445538,2.39,8253.29,FIX
12515,339.26,212.31,1.0,FIX,FIX,3.0458982,-2.65,10770.41,1.6615142,2.7,32465.11,2.237919,-1.01,17637.42,3.1876268,0.52,17709.24,0.6725779,1.6,7177.04,FIX
14514,339.23,212.31,1.0,FIX,FIX,4.100637,1.84,44297.88,2.1056812,0.97,22752.07,1.6811284,-0.72,6284.49,2.9788306,0.38,3757.45,1.6716377,1.14,8761.78,FIX
16521,339.19,212.56,1.0,FIX,FIX,7.0383406,0.77,49089.19,3.2869635,0.17,18680.2,1.4539831,-0.79,1969.04,0.5498308,-1.46,24980.08,1.1749549,1.35,4521.45,FIX
18519,339.55,212.62,1.0,FIX,FIX,8.108898,-0.36,64466.63,2.8491232,0.34,5379.42,1.1471153,0.03,8495.63,0.4005097,-2.15,2747.14,1.348952,2.53,11190.2,FIX
20521,339.67,212.38,1.0,FIX,FIX,3.0205898,-1.47,57457.12,4.5106378,-0.66,30146.91,3.1876268,0.52,17665.01,0.66435254,-2.1,2093.66,2.8269784,2.41,11832.33,FIX
22521,339.57,212.43,1.0,FIX,FIX,2.7327034,-1.75,6722.63,1.9949559,-0.98,21280.54,2.9788306,0.38,3755.57,0.5156641,-2.57,2469.63,3.4445097,3.02,15707.93,FIX
24518,339.64,212.21,1.0,FIX,FIX,1.922826,-0.17,26563.0,3.4761455,0.85,35086.45,2.161993,0.61,7907.66,1.121174,-2.98,5375.11,4.3189244,2.99,6982.27,FIX
26524,339.69,212.41,1.0,FIX,FIX,9.392679,1.0,69454.05,3.113599,0.42,11462.74,0.48276287,0.61,13233.91,1.2445538,2.39,8245.06,6.0437098,-2.86,21897.85,FIX
28517,339.96,212.71,1.0,FIX,FIX,4.7415795,0.64,41415.42,5.047181,1.56,37176.03,2.003814,2.76,18258.42,0.6725779,1.6,7191.45,7.42936,-2.61,17150.63,FIX
30527,339.93,212.59,1.0,FIX,FIX,5.0826135,2.64,64949.03,2.2372863,1.71,22479.45,2.2056506,2.89,2677.69,1.6716377,1.14,8713.83,9.276893,-2.48,17138.02,FIX
32918,339.65,212.88,1.0,FIX,FIX,4.7074127,2.8,5691.15,6.102553,-2.96,43521.08,3.3097413,2.94,7351.92,1.1749549,1.35,3795.29,5.638139,-2.31,25293.79,FIX
34523,339.65,212.69,1.0,FIX,FIX,9.574903,-2.54,76988.31,7.123125,-3.12,14443.76,3.3964233,2.63,10102.61,1.348952,2.53,13930.23,5.7659473,-2.37,3487.36,FIX
36529,339.2,212.57,1.0,FIX,FIX,9.989332,-2.95,31693.6,8.05828,-2.6,31562.16,2.8155894,-3.06,14995.73,2.8269784,2.41,11808.73,5.9437413,-2.33,2462.42,FIX
38523,339.03,212.57,1.0,FIX,FIX,6.7251463,-2.68,31314.72,5.7140646,2.95,42967.9,2.380913,2.19,20592.62,3.4445097,3.02,15755.19,5.7077374,-2.29,2450.89,FIX
40526,338.82,212.38,1.0,FIX,FIX,4.337906,1.9,66784.25,0.74597305,1.01,47504.0,1.7026407,2.47,6979.72,4.3189244,2.99,6961.36,5.4793267,-2.31,1969.17,FIX
42536,338.94,212.83,1.0,FIX,FIX,8.027277,0.56,64627.35,5.926025,0.75,40964.52,2.899108,2.69,10131.28,6.0437098,-2.86,21854.27,5.4729996,-2.33,1084.24,FIX
44528,339.25,212.65,1.0,FIX,FIX,10.882095,0.37,26596.36,7.1933565,0.99,16012.9,3.8355289,2.22,14289.52,7.42936,-2.61,17159.24,5.1363945,-2.37,3028.5,FIX
46531,339.58,213.08,1.0,FIX,FIX,7.8292365,1.43,77269.46,1.478659,1.3,45791.52,4.711209,3.08,28753.09,9.276893,-2.48,17197.91,5.3458233,-2.35,1780.41,FIX
48528,339.32,213.14,1.0,FIX,FIX,9.397741,-3.02,108357.96,7.4407487,2.32,53682.56,5.3350673,3.02,5483.34,11.05103,-2.35,17277.19,5.4514875,-2.35,850.62,FIX
50531,338.99,213.01,1.0,FIX,FIX,11.659071,2.87,36833.87,14.191203,-2.89,98389.33,9.99123,-2.62,51645.48,11.141509,-2.38,2530.02,6.0291576,-2.46,6819.42,FIX
52531,338.61,213.34,1.0,FIX,FIX,19.099186,-2.83,89972.3,15.300989,-2.83,11777.95,12.373408,-2.52,20857.39,11.241478,-2.34,3515.3,5.8703456,-2.55,4498.85,FIX
