@RELATION gaze_labels

%@METADATA width_px 528
%@METADATA height_px 224
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
847,230.70,115.53,1.00,FIX,FIX
2834,231.07,115.63,1.00,FIX,FIX
4832,231.09,115.69,1.00,FIX,FIX
6831,230.47,115.94,1.00,FIX,FIX
8838,230.39,116.02,1.00,FIX,FIX
10835,230.78,115.83,1.00,FIX,FIX
12837,230.25,115.73,1.00,FIX,FIX
14842,230.10,115.42,1.00,FIX,FIX
16842,230.27,114.88,1.00,FIX,FIX
18847,229.68,114.96,1.00,FIX,FIX
20845,229.78,114.99,1.00,FIX,FIX
22844,230.52,114.90,1.00,FIX,FIX
24842,230.31,115.04,1.00,FIX,FIX
26844,230.16,114.75,1.00,FIX,FIX
28846,229.23,115.08,1.00,FIX,FIX
30851,229.42,115.92,1.00,FIX,FIX
33361,230.28,116.00,1.00,FIX,FIX
34847,230.39,115.34,1.00,FIX,FIX
36844,230.81,115.61,1.00,FIX,FIX
38848,230.87,115.43,1.00,FIX,FIX
40849,230.65,115.41,1.00,FIX,FIX
42849,230.82,116.23,1.00,FIX,FIX
44848,230.59,116.09,1.00,FIX,FIX
46848,230.69,115.68,1.00,FIX,FIX
48849,230.44,116.02,1.00,FIX,FIX
50852,230.13,115.11,1.00,FIX,FIX
52854,230.28,114.58,1.00,FIX,FIX
54852,230.83,115.02,1.00,FIX,FIX
56851,230.57,115.49,1.00,FIX,FIX
58854,229.91,115.92,1.00,FIX,FIX
60857,229.25,115.62,1.00,FIX,FIX
62854,229.63,115.45,1.00,FIX,FIX
64857,230.50,115.39,1.00,FIX,FIX
66856,230.79,115.27,1.00,FIX,FIX
68860,230.89,116.18,1.00,FIX,FIX
70863,230.69,115.08,1.00,FIX,FIX
72867,230.55,116.52,1.00,FIX,FIX
74861,231.09,115.80,1.00,FIX,FIX
76862,231.34,116.05,1.00,FIX,FIX
78869,230.47,115.29,1.00,FIX,FIX
80868,230.64,114.95,1.00,FIX,FIX
82867,230.37,114.90,1.00,FIX,FIX
84864,230.47,114.90,1.00,FIX,FIX
86863,230.61,114.86,1.00,FIX,FIX
88868,230.23,115.69,1.00,FIX,FIX
90866,230.24,115.58,1.00,FIX,FIX
92868,230.22,116.15,1.00,FIX,FIX
94865,229.94,115.93,1.00,FIX,FIX
96871,229.74,115.33,1.00,FIX,FIX
98870,229.78,115.55,1.00,FIX,FIX
100870,229.83,115.84,1.00,FIX,FIX
102869,230.06,115.41,1.00,FIX,FIX
104871,230.36,115.92,1.00,FIX,FIX
106872,230.27,116.25,1.00,FIX,FIX
108874,229.92,116.67,1.00,FIX,FIX
110874,229.95,117.19,1.00,FIX,FIX
112874,229.99,117.32,1.00,FIX,FIX
114874,230.01,117.31,1.00,FIX,FIX
116877,229.95,116.65,1.00,FIX,FIX
118878,230.68,116.72,1.00,FIX,FIX
120881,230.15,117.25,1.00,FIX,FIX
122877,230.62,116.92,1.00,FIX,FIX
124877,230.65,116.49,1.00,FIX,FIX
126882,230.10,116.57,1.00,FIX,FIX
128882,229.97,117.16,1.00,FIX,FIX
130880,229.78,117.20,1.00,FIX,FIX
132880,229.47,117.33,1.00,FIX,FIX
134881,229.34,117.81,1.00,FIX,FIX
136881,228.75,117.74,1.00,FIX,FIX
138888,229.06,117.99,1.00,FIX,FIX
140886,229.21,118.13,1.00,FIX,FIX
142884,229.58,117.78,1.00,FIX,FIX
