@RELATION gaze_labels

%@METADATA width_px 528
%@METADATA height_px 224
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
1285,280.08,115.08,1.00,FIX,FIX
3280,280.38,116.59,1.00,FIX,FIX
5275,280.55,116.70,1.00,FIX,FIX
7276,280.74,116.16,1.00,FIX,FIX
9284,280.77,115.82,1.00,FIX,FIX
11282,281.12,115.41,1.00,FIX,FIX
13282,281.12,114.49,1.00,FIX,FIX
15282,281.08,114.16,1.00,FIX,FIX
17285,280.52,113.81,1.00,FIX,FIX
19287,280.38,114.61,1.00,FIX,FIX
21288,280.32,114.56,1.00,FIX,FIX
23300,279.69,114.61,1.00,FIX,FIX
25290,279.67,115.01,1.00,FIX,FIX
27289,279.70,115.49,1.00,FIX,FIX
29291,279.72,114.76,1.00,FIX,FIX
31291,279.34,114.53,1.00,FIX,FIX
33422,279.12,113.94,1.00,FIX,FIX
35289,280.06,114.03,1.00,FIX,FIX
37287,279.83,116.06,1.00,FIX,FIX
39291,279.58,116.30,1.00,FIX,FIX
41290,279.62,115.39,1.00,FIX,FIX
43290,279.45,115.44,1.00,FIX,FIX
45290,280.12,114.37,1.00,FIX,FIX
47294,280.55,114.74,1.00,FIX,FIX
49294,281.12,114.87,1.00,FIX,FIX
51296,281.75,115.72,1.00,FIX,FIX
53296,281.80,115.66,1.00,FIX,FIX
55296,282.05,115.06,1.00,FIX,FIX
57298,282.18,114.82,1.00,FIX,FIX
59298,282.29,115.40,1.00,FIX,FIX
61300,281.84,115.31,1.00,FIX,FIX
63301,282.08,115.36,1.00,FIX,FIX
65300,282.03,115.28,1.00,FIX,FIX
67302,282.01,114.92,1.00,FIX,FIX
69310,282.12,114.87,1.00,FIX,FIX
71302,282.31,115.45,1.00,FIX,FIX
73333,281.80,114.88,1.00,FIX,FIX
75306,281.88,115.29,1.00,FIX,FIX
77305,281.46,114.90,1.00,FIX,FIX
79308,281.87,114.74,1.00,FIX,FIX
81308,281.81,114.83,1.00,FIX,FIX
83309,281.70,114.61,1.00,FIX,FIX
85311,281.58,115.19,1.00,FIX,FIX
87308,282.32,116.86,1.00,FIX,FIX
89311,281.68,115.30,1.00,FIX,FIX
91310,281.90,115.64,1.00,FIX,FIX
93311,282.19,115.92,1.00,FIX,FIX
95312,282.12,117.38,1.00,FIX,FIX
97311,282.81,116.12,1.00,FIX,FIX
99317,282.68,115.66,1.00,FIX,FIX
101315,282.39,115.64,1.00,FIX,FIX
