%@metadata width_px 528.0
%@metadata height_px 224.0
%@metadata width_mm 475.0
%@metadata height_mm 290.0
%@metadata distance_mm 600.0
% The number after speed, direction denotes the step size that was used for the calculation.
% Acceleration was calculated between two adjacent samples of the already low pass filtered velocity
@RELATION gaze_labels

@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN, FIX, SACCADE, SP, NOISE}
@ATTRIBUTE speed_1 NUMERIC
@ATTRIBUTE direction_1 NUMERIC
@ATTRIBUTE acceleration_1 NUMERIC
@ATTRIBUTE speed_2 NUMERIC
@ATTRIBUTE direction_2 NUMERIC
@ATTRIBUTE acceleration_2 NUMERIC
@ATTRIBUTE speed_4 NUMERIC
@ATTRIBUTE direction_4 NUMERIC
@ATTRIBUTE acceleration_4 NUMERIC
@ATTRIBUTE speed_8 NUMERIC
@ATTRIBUTE direction_8 NUMERIC
@ATTRIBUTE acceleration_8 NUMERIC
@ATTRIBUTE speed_16 NUMERIC
@ATTRIBUTE direction_16 NUMERIC
@ATTRIBUTE acceleration_16 NUMERIC
@ATTRIBUTE EYE_MOVEMENT_TYPE {UNKNOWN, FIX, SACCADE, SP, NOISE, BLINK, NOISE_CLUSTER, PSO}

@DATA
600,258.23,105.64,1.0,FIX,FIX,15.222294,3.08,0.0,13.293492,-2.84,0.0,5.3828626,-2.45,0.0,5.4854584,2.94,0.0,3.7520773,-3.05,0.0,FIX
2594,257.92,105.66,1.0,FIX,FIX,13.293492,-2.84,28150.86,3.4521065,-2.36,53220.07,4.2396517,-2.42,5931.1,3.7315578,3.08,9539.49,3.0534482,3.11,4135.56,FIX
4599,257.71,105.48,1.0,FIX,FIX,3.4521065,-2.36,52928.09,5.3828626,-2.45,10082.37,4.8151655,2.72,25110.31,2.3939035,3.04,6852.25,3.2557087,2.46,10316.43,FIX
6597,257.82,105.56,1.0,FIX,FIX,5.290038,-0.59,35139.18,4.2396517,-2.42,5919.23,6.1332784,2.6,7605.59,3.7638025,-3.0,7988.11,3.8957112,2.52,3457.93,FIX
8595,257.89,105.36,1.0,FIX,FIX,5.0399,-2.46,42598.41,4.8151655,2.72,25198.28,5.4854584,2.94,10644.88,4.656875,2.96,8416.6,4.886494,2.78,7721.8,FIX
10594,257.66,105.43,1.0,FIX,FIX,14.8627205,2.66,69928.72,6.1332784,2.6,7601.78,3.7315578,3.08,9515.63,2.9733257,2.81,9080.84,4.313912,2.82,3034.4,FIX
12594,257.35,105.64,1.0,FIX,FIX,11.564019,2.18,36481.68,8.659091,2.44,14256.98,2.3939035,3.04,6869.38,0.7377131,2.71,11462.3,3.411068,2.96,5413.64,FIX
14602,257.39,105.82,1.0,FIX,FIX,4.3901258,1.57,42494.38,5.394588,2.48,16719.84,3.7638025,-3.0,7948.33,1.4099603,-3.05,4326.26,3.884963,-3.0,6415.78,FIX
16600,257.35,105.82,1.0,FIX,FIX,3.524412,-2.16,38825.24,1.5096247,-1.82,31537.33,4.656875,2.96,8416.6,3.7520773,-3.05,11997.22,2.900043,3.13,5685.27,FIX
18600,257.31,105.7,1.0,FIX,FIX,7.3634515,-1.67,23337.26,4.8063717,-2.05,17165.24,2.9733257,2.81,9076.3,3.0534482,3.11,4123.15,2.7857218,-3.06,1397.69,FIX
20601,257.32,105.52,1.0,FIX,FIX,6.121553,-1.98,12370.84,4.6725087,-2.15,2651.83,0.7377131,2.71,11456.57,3.2557087,2.46,10337.06,4.0588875,3.02,7340.47,FIX
22603,257.21,105.47,1.0,FIX,FIX,4.420416,-3.03,28041.16,1.9004662,-2.36,14510.77,1.4099603,-3.05,4339.23,3.8957112,2.52,3451.02,4.0764756,2.95,1567.89,FIX
24604,257.14,105.5,1.0,FIX,FIX,2.9440126,1.65,27506.87,2.2932618,2.01,17583.85,2.7515233,-2.46,9029.08,4.886494,2.78,7710.23,3.693451,2.96,1973.86,FIX
26600,257.2,105.59,1.0,FIX,FIX,5.241183,1.09,16307.92,4.0774527,1.72,10206.74,2.380224,-3.12,8622.92,4.313912,2.82,3038.96,4.0491166,2.87,2472.33,FIX
28607,257.24,105.69,1.0,FIX,FIX,5.2206635,1.76,17607.13,1.7763741,2.94,19647.35,4.6900964,2.18,19978.57,3.411068,2.96,5394.76,4.316843,-3.06,7440.69,FIX
30601,257.16,105.8,1.0,FIX,FIX,6.574929,-2.57,50293.77,3.626031,2.8,9680.35,5.70433,2.05,6271.14,3.884963,-3.0,6460.83,3.8282912,-2.88,4659.29,FIX
33018,256.99,105.53,1.0,FIX,FIX,6.431295,-2.71,3887.2,7.1309013,2.23,19070.94,5.2470455,2.63,13440.3,2.900043,3.13,4699.7,3.6221223,-3.0,2178.86,FIX
34612,256.92,105.69,1.0,FIX,FIX,17.123737,1.75,126791.61,7.65756,2.22,3450.94,5.6544976,2.82,7200.9,2.7857218,-3.06,1753.69,3.014364,-3.07,4166.32,FIX
36611,256.88,106.15,1.0,FIX,FIX,15.28092,1.8,10306.26,9.207246,2.57,16739.02,6.111782,2.99,5565.41,4.0588875,3.02,7347.81,2.804287,2.94,4200.16,FIX
38614,256.78,106.3,1.0,FIX,FIX,13.219232,-2.7,113535.37,7.6868725,2.83,13927.12,6.3609433,-2.99,9746.0,4.0764756,2.95,1567.11,3.0671277,2.78,2723.94,FIX
40612,256.39,105.92,1.0,FIX,FIX,15.223271,-2.4,24094.54,8.570174,-2.68,31323.98,4.1478043,2.67,19744.36,3.693451,2.96,1976.83,3.259617,2.74,1178.8,FIX
42612,256.32,105.88,1.0,FIX,FIX,3.9347956,-2.62,58421.18,11.315835,-2.35,21929.63,3.1961052,-3.03,11800.03,4.0491166,2.87,2467.39,2.8765926,2.81,2215.36,FIX
44616,256.25,105.84,1.0,FIX,FIX,7.4758186,-2.24,20917.81,1.106081,-1.46,54402.57,6.09224,-2.65,17015.94,4.316843,-3.06,7451.83,2.0802534,2.96,4479.84,FIX
46613,256.13,105.64,1.0,FIX,FIX,3.675863,-0.07,51393.76,3.2039223,-1.26,10923.39,6.401005,-2.57,3125.96,3.8282912,-2.88,4652.29,1.8682219,2.84,1583.33,FIX
48612,256.4,105.83,1.0,FIX,FIX,6.595448,-0.04,14963.42,3.6270077,-2.57,21389.19,2.9498754,-2.71,17970.54,3.4990075,-2.95,2140.36,2.1339939,2.58,3048.45,FIX
50616,256.4,105.63,1.0,FIX,FIX,10.432533,-2.78,85350.37,3.014364,2.77,15644.5,2.4691403,2.99,8200.6,3.0065472,-2.97,2544.25,2.2883763,2.46,1566.72,FIX
52613,256.0,105.68,1.0,FIX,FIX,12.446343,2.94,33682.01,5.6535206,-2.9,18593.38,3.0163183,-2.59,10033.53,3.099372,-2.84,2033.65,2.3763156,2.46,454.95,FIX
54619,255.9,105.73,1.0,FIX,FIX,1.5614113,2.47,56540.78,6.9765186,2.57,26225.92,1.511579,-2.38,7985.99,2.5658736,-3.11,4665.83,2.146696,2.53,1404.31,FIX
56619,255.95,105.72,1.0,FIX,FIX,5.1532435,1.48,22984.33,2.4075828,-2.61,32113.38,4.4897904,-2.36,15243.81,1.6728011,2.61,7463.57,2.599095,2.56,2342.03,FIX
58619,255.92,105.94,1.0,FIX,FIX,4.506401,-2.28,47131.11,3.2351894,-1.38,17005.43,2.8287144,-2.9,12994.65,1.4402504,2.77,1736.8,2.8971117,2.79,3561.09,FIX
60617,255.83,105.58,1.0,FIX,FIX,11.516141,-1.51,45407.06,5.081915,-1.74,12021.04,1.1744784,2.06,14262.7,0.7484612,2.94,3645.83,3.0280435,2.79,669.33,FIX
62615,255.95,105.47,1.0,FIX,FIX,6.7087927,-1.39,25199.79,5.1424956,-1.5,6287.59,3.3074949,1.5,12271.52,1.6708469,1.41,9236.51,2.5492628,2.79,2454.76,FIX
