@RELATION gaze_labels

%@METADATA width_px 704
%@METADATA height_px 416
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
1907,364.79,188.39,1.00,SACCADE,SACCADE
3899,365.09,186.44,1.00,SACCADE,SACCADE
5903,365.73,185.97,1.00,SP,FIX
7906,366.74,184.01,1.00,SP,FIX
9907,368.01,182.65,1.00,SP,FIX
11910,369.11,181.63,1.00,SP,FIX
13908,369.72,180.43,1.00,SP,FIX
15906,370.18,179.32,1.00,SP,FIX
17909,370.52,179.44,1.00,SP,FIX
19914,370.69,178.46,1.00,SP,FIX
21913,371.23,178.44,1.00,SP,FIX
23915,371.76,177.63,1.00,SP,FIX
25909,372.35,176.88,1.00,SP,FIX
27915,373.43,176.32,1.00,SP,FIX
29918,374.11,175.61,1.00,SP,FIX
31910,374.53,174.63,1.00,SP,FIX
33921,374.88,174.81,1.00,SP,FIX
35918,375.00,175.04,1.00,SP,FIX
37917,374.73,175.36,1.00,SP,FIX
39919,374.17,175.51,1.00,SP,FIX
41918,373.69,176.31,1.00,SP,FIX
43919,373.93,176.94,1.00,SP,FIX
45918,374.23,177.70,1.00,SP,FIX
47920,374.35,177.89,1.00,SP,FIX
49924,374.44,178.37,1.00,SP,FIX
51922,374.32,178.93,1.00,SP,FIX
53924,374.32,179.19,1.00,SP,FIX
55923,374.32,178.95,1.00,SP,FIX
57923,374.26,179.01,1.00,SP,FIX
59929,374.40,178.97,1.00,SP,FIX
61929,374.19,179.01,1.00,SP,FIX
63930,374.19,179.21,1.00,SP,FIX
65926,374.01,179.41,1.00,SP,FIX
67927,374.04,179.69,1.00,SP,FIX
69930,373.75,179.53,1.00,SP,FIX
71925,374.00,179.92,1.00,SP,FIX
73937,374.13,179.35,1.00,SP,FIX
75930,374.06,178.48,1.00,SP,FIX
77930,373.92,178.41,1.00,SP,FIX
79933,373.74,178.94,1.00,SP,FIX
81932,373.63,179.40,1.00,SP,FIX
83938,373.23,179.80,1.00,SP,FIX
85936,373.27,179.87,1.00,SP,FIX
87936,372.98,180.06,1.00,SP,FIX
89936,373.20,179.54,1.00,SP,FIX
91940,373.51,179.21,1.00,SP,FIX
93940,373.60,179.22,1.00,SP,FIX
95940,373.46,178.97,1.00,SP,FIX
97937,373.53,179.00,1.00,SP,FIX
99942,373.18,179.34,1.00,SP,FIX
101943,373.24,179.77,1.00,SP,FIX
103943,373.30,180.15,1.00,SP,FIX
105941,372.96,180.14,1.00,SP,FIX
107941,372.76,179.77,1.00,SP,FIX
109947,372.61,179.77,1.00,SP,FIX
111945,372.65,179.68,1.00,SP,FIX
113943,372.69,179.42,1.00,SP,FIX
115960,372.55,179.87,1.00,SP,FIX
117945,372.38,179.55,1.00,SP,FIX
119946,372.06,180.58,1.00,SP,FIX
121949,371.82,180.30,1.00,SP,FIX
123949,371.66,180.65,1.00,SP,FIX
125950,371.59,180.47,1.00,SP,FIX
127947,371.55,180.48,1.00,SP,FIX
129950,371.29,180.47,1.00,SP,FIX
131952,371.46,180.13,1.00,SP,FIX
133950,371.45,179.73,1.00,SP,FIX
135951,371.63,179.80,1.00,SP,FIX
137953,371.66,180.18,1.00,SP,FIX
139954,371.60,180.26,1.00,SP,FIX
141955,371.55,180.07,1.00,SP,FIX
143955,371.52,179.99,1.00,SP,FIX
145955,371.48,179.88,1.00,SP,FIX
147959,371.57,179.94,1.00,SP,FIX
149960,371.46,180.36,1.00,SP,FIX
151962,370.92,180.19,1.00,SP,FIX
153960,370.58,180.37,1.00,SP,FIX
155962,370.49,180.63,1.00,SP,FIX
157959,370.49,180.91,1.00,SP,FIX
159961,370.82,180.98,1.00,SP,FIX
161961,370.88,180.82,1.00,SP,FIX
163962,370.67,180.72,1.00,SP,FIX
165961,370.63,180.55,1.00,SP,FIX
167964,370.34,180.49,1.00,SP,FIX
169963,370.40,180.77,1.00,SP,FIX
171968,370.65,181.08,1.00,SP,FIX
173969,370.60,181.54,1.00,SP,FIX
175966,370.21,180.63,1.00,SP,FIX
177969,369.91,180.76,1.00,SP,FIX
179970,369.88,180.41,1.00,SP,FIX
181969,369.84,180.64,1.00,SP,FIX
183968,369.97,181.54,1.00,SP,FIX
185969,369.93,181.22,1.00,SP,FIX
187970,369.67,180.54,1.00,SP,FIX
189971,369.57,180.53,1.00,SP,FIX
191975,369.10,180.10,1.00,SP,FIX
193973,369.15,180.26,1.00,SP,FIX
195973,369.06,181.07,1.00,SP,FIX
197971,369.10,181.71,1.00,SP,FIX
199977,369.18,182.16,1.00,SP,FIX
201977,369.29,181.86,1.00,SP,FIX
203975,369.40,181.78,1.00,SP,FIX
205975,369.39,181.07,1.00,SP,FIX
207982,369.11,180.35,1.00,SACCADE,FIX
209980,369.10,181.24,1.00,SACCADE,FIX
211983,369.36,181.24,1.00,SACCADE,FIX
213981,369.67,181.38,1.00,SACCADE,FIX
215983,370.00,180.11,1.00,SACCADE,FIX
217980,370.13,180.07,1.00,SACCADE,FIX
219986,370.61,179.43,1.00,SACCADE,SACCADE
