@RELATION gaze_labels

%@METADATA width_px 704
%@METADATA height_px 416
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
581,340.32,189.05,1.00,FIX,FIX
2584,339.88,189.01,1.00,FIX,FIX
4584,340.62,189.15,1.00,FIX,FIX
6587,340.43,189.07,1.00,FIX,FIX
8587,340.23,188.65,1.00,FIX,FIX
10587,339.85,188.51,1.00,FIX,FIX
12589,339.38,188.35,1.00,FIX,FIX
14584,339.48,188.82,1.00,FIX,FIX
16592,339.14,188.82,1.00,FIX,FIX
18590,339.19,189.07,1.00,FIX,FIX
20590,339.58,189.62,1.00,FIX,FIX
22587,339.39,189.64,1.00,FIX,FIX
24590,339.45,189.32,1.00,FIX,FIX
26591,339.23,188.85,1.00,FIX,FIX
28593,338.75,189.01,1.00,FIX,FIX
30598,339.20,188.90,1.00,FIX,FIX
32773,339.17,188.73,1.00,FIX,FIX
34595,339.40,188.67,1.00,FIX,FIX
36599,339.73,188.96,1.00,FIX,FIX
38596,340.04,188.86,1.00,FIX,FIX
40598,340.04,188.94,1.00,FIX,FIX
42601,340.42,189.34,1.00,FIX,FIX
44599,340.21,189.22,1.00,FIX,FIX
46602,340.24,189.22,1.00,FIX,FIX
48598,340.49,189.33,1.00,FIX,FIX
50601,340.57,189.49,1.00,FIX,FIX
52599,340.44,189.40,1.00,FIX,FIX
54599,340.75,188.88,1.00,FIX,FIX
56602,340.88,188.78,1.00,FIX,FIX
58609,340.85,188.57,1.00,FIX,FIX
60605,341.19,189.13,1.00,FIX,FIX
62606,340.92,189.61,1.00,FIX,FIX
64604,340.89,189.48,1.00,FIX,FIX
66608,341.25,189.37,1.00,FIX,FIX
68609,341.50,189.58,1.00,FIX,FIX
71510,341.36,189.41,1.00,FIX,FIX
72607,341.36,189.33,1.00,FIX,FIX
74604,341.16,189.02,1.00,FIX,FIX
76611,341.19,188.85,1.00,FIX,FIX
78612,341.61,189.05,1.00,FIX,FIX
80611,342.24,189.32,1.00,FIX,FIX
82615,342.39,189.77,1.00,FIX,FIX
84613,342.48,189.33,1.00,FIX,FIX
86616,341.60,188.93,1.00,FIX,FIX
88614,341.53,189.08,1.00,FIX,FIX
90616,342.07,189.35,1.00,FIX,FIX
92614,342.75,189.53,1.00,FIX,FIX
94617,342.86,189.68,1.00,FIX,FIX
96618,343.18,189.43,1.00,FIX,FIX
98621,342.91,190.15,1.00,FIX,FIX
100620,342.64,189.76,1.00,FIX,FIX
102621,342.63,190.20,1.00,FIX,FIX
104624,342.28,189.89,1.00,FIX,FIX
106619,342.12,189.40,1.00,FIX,FIX
108625,341.88,189.48,1.00,FIX,FIX
110627,341.65,189.45,1.00,FIX,FIX
112625,341.60,189.24,1.00,FIX,FIX
114621,342.05,189.72,1.00,FIX,FIX
116627,342.07,189.55,1.00,FIX,FIX
118633,341.80,189.87,1.00,FIX,FIX
120632,341.42,189.69,1.00,FIX,FIX
122630,341.22,189.96,1.00,FIX,FIX
124628,340.85,189.96,1.00,FIX,FIX
126632,341.08,189.56,1.00,FIX,FIX
128633,341.20,189.57,1.00,FIX,FIX
130632,340.91,189.37,1.00,FIX,FIX
132631,340.71,189.55,1.00,FIX,FIX
134630,340.48,189.70,1.00,FIX,FIX
136636,340.37,189.85,1.00,FIX,FIX
138633,340.05,190.06,1.00,FIX,FIX
140636,339.80,189.99,1.00,FIX,FIX
142637,339.58,189.91,1.00,FIX,FIX
144635,339.36,189.66,1.00,FIX,FIX
146640,339.38,189.55,1.00,FIX,FIX
148640,339.53,189.72,1.00,FIX,FIX
150637,339.12,189.98,1.00,FIX,FIX
152637,339.00,190.14,1.00,FIX,FIX
154637,338.71,189.88,1.00,FIX,FIX
156641,338.73,189.60,1.00,FIX,FIX
158642,339.00,189.77,1.00,FIX,FIX
160641,338.56,190.03,1.00,FIX,FIX
162642,338.39,190.60,1.00,FIX,FIX
164637,338.33,190.81,1.00,FIX,FIX
166645,338.28,190.27,1.00,FIX,FIX
168647,338.59,190.44,1.00,FIX,FIX
170648,338.77,189.40,1.00,FIX,FIX
172646,339.01,189.09,1.00,FIX,FIX
174647,339.41,188.64,1.00,FIX,FIX
176653,339.76,188.73,1.00,FIX,FIX
178650,339.61,188.50,1.00,FIX,FIX
180650,339.96,188.77,1.00,FIX,FIX
182650,339.83,189.40,1.00,FIX,FIX
184651,339.95,189.70,1.00,FIX,FIX
186654,339.77,189.84,1.00,FIX,FIX
188657,338.98,189.77,1.00,FIX,FIX
190655,338.08,190.26,1.00,FIX,FIX
192652,338.51,191.37,1.00,SACCADE,SACCADE
194655,349.53,194.63,1.00,SACCADE,SACCADE
