@RELATION gaze_labels

%@METADATA width_px 704
%@METADATA height_px 416
%@METADATA width_mm 475.00
%@METADATA height_mm 290.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
1045,351.29,194.76,1.00,FIX,FIX
3042,350.92,195.84,1.00,FIX,FIX
5038,350.36,194.60,1.00,FIX,FIX
7038,349.83,194.18,1.00,FIX,FIX
9037,349.08,193.87,1.00,FIX,FIX
11045,349.03,194.08,1.00,FIX,FIX
13045,349.23,194.73,1.00,FIX,FIX
15045,348.61,195.05,1.00,FIX,FIX
17043,348.88,194.89,1.00,FIX,FIX
19043,348.85,194.68,1.00,FIX,FIX
21046,349.25,194.19,1.00,FIX,FIX
23049,349.63,194.44,1.00,FIX,FIX
25046,349.57,194.27,1.00,FIX,FIX
27044,348.79,194.47,1.00,FIX,FIX
29049,349.23,195.22,1.00,FIX,FIX
31050,349.43,195.09,1.00,FIX,FIX
33246,349.91,194.85,1.00,FIX,FIX
35053,349.59,194.60,1.00,FIX,FIX
37050,349.44,193.85,1.00,FIX,FIX
39049,348.91,193.69,1.00,FIX,FIX
41051,348.40,193.93,1.00,FIX,FIX
43054,348.31,195.07,1.00,FIX,FIX
45056,348.50,194.83,1.00,FIX,FIX
47055,348.13,194.81,1.00,FIX,FIX
49053,347.62,195.47,1.00,FIX,FIX
51059,348.31,195.29,1.00,FIX,FIX
53055,347.97,195.47,1.00,FIX,FIX
55054,348.19,194.79,1.00,FIX,FIX
57056,347.76,194.71,1.00,FIX,FIX
59055,347.52,195.38,1.00,FIX,FIX
61059,348.39,195.83,1.00,FIX,FIX
63059,348.78,195.25,1.00,FIX,FIX
65057,348.91,195.35,1.00,FIX,FIX
67059,349.31,195.22,1.00,FIX,FIX
69058,348.84,194.79,1.00,FIX,FIX
71113,348.23,195.77,1.00,FIX,FIX
73059,347.81,194.50,1.00,FIX,FIX
75070,347.68,195.13,1.00,FIX,FIX
77079,347.96,196.42,1.00,FIX,FIX
79063,348.54,196.43,1.00,FIX,FIX
81066,348.62,197.29,1.00,FIX,FIX
83065,348.43,196.81,1.00,FIX,FIX
85067,348.52,195.97,1.00,FIX,FIX
87065,348.90,196.36,1.00,FIX,FIX
89066,348.96,195.97,1.00,FIX,FIX
91073,349.83,195.44,1.00,FIX,FIX
93071,350.11,195.98,1.00,FIX,FIX
95071,351.62,196.40,1.00,FIX,FIX
97069,351.89,197.66,1.00,FIX,FIX
99085,352.28,197.67,1.00,FIX,FIX
101074,352.34,196.76,1.00,FIX,FIX
103072,352.32,197.84,1.00,FIX,FIX
105073,353.28,197.18,1.00,FIX,FIX
107071,352.51,196.53,1.00,FIX,FIX
109072,352.20,196.77,1.00,FIX,FIX
111078,351.84,195.20,1.00,FIX,FIX
113079,351.43,196.46,1.00,FIX,FIX
115077,352.68,195.92,1.00,FIX,FIX
117076,352.58,197.10,1.00,FIX,FIX
119075,352.81,196.31,1.00,FIX,FIX
121081,352.06,196.05,1.00,FIX,FIX
123081,351.69,195.78,1.00,FIX,FIX
125083,351.30,196.12,1.00,FIX,FIX
127083,350.99,195.58,1.00,FIX,FIX
129082,350.83,195.76,1.00,FIX,FIX
131086,350.58,196.30,1.00,FIX,FIX
133088,349.90,196.74,1.00,FIX,FIX
135085,350.27,196.16,1.00,FIX,FIX
137087,350.07,197.00,1.00,FIX,FIX
139088,349.96,196.89,1.00,FIX,FIX
141090,349.72,196.75,1.00,FIX,FIX
143093,349.08,196.39,1.00,FIX,FIX
145090,348.77,196.38,1.00,FIX,FIX
147090,348.95,196.52,1.00,FIX,FIX
149086,349.19,197.94,1.00,FIX,FIX
151093,349.05,197.19,1.00,FIX,FIX
153094,348.58,196.78,1.00,FIX,FIX
155093,347.69,197.52,1.00,FIX,FIX
157092,349.05,197.14,1.00,FIX,FIX
159091,348.77,197.97,1.00,FIX,FIX
161097,350.36,198.09,1.00,FIX,FIX
163096,350.07,197.50,1.00,FIX,FIX
165097,349.22,197.28,1.00,FIX,FIX
167099,348.47,197.79,1.00,FIX,FIX
169098,348.00,197.37,1.00,FIX,FIX
171104,347.75,196.47,1.00,FIX,FIX
173104,348.37,196.98,1.00,FIX,FIX
175104,349.45,197.66,1.00,FIX,FIX
177101,349.04,198.06,1.00,FIX,FIX
179102,348.97,197.54,1.00,FIX,FIX
181107,349.43,197.46,1.00,FIX,FIX
183104,348.57,195.70,1.00,FIX,FIX
185104,349.21,195.47,1.00,FIX,FIX
